Thermo RheoWin  07.01.2000 / 15:32

Firma: MIMED Bearbeiter: hiwi
Datum: 07.01.2000 Zeit: 15:28:41 Version: HAAKE RheoWin 3.61.0004
Substanz: A10 Chargennummer: 

Nr-Seg;t in s;t_seg in s;Tau in Pa;Eta in Pas;T in °C;
1|1;1.141;0.266;0.469;0.001359;22.54;
1|2;2.094;1.219;1.633;0.005860;22.53;
1|3;2.922;2.047;1.062;0.003523;22.54;
1|4;4.157;3.282;1.133;0.003757;22.54;
1|5;5.188;4.313;1.169;0.003891;22.54;
1|6;6.141;5.266;1.134;0.003800;22.54;
1|7;7.047;6.172;1.222;0.004104;22.54;
1|8;7.969;7.094;1.116;0.003723;22.54;
1|9;9.219;8.344;1.204;0.004042;22.54;
1|10;10.09;9.219;1.080;0.003577;22.54;
1|11;11.06;10.19;1.169;0.003895;22.54;
1|12;12.48;11.61;1.080;0.003576;22.54;
1|13;13.23;12.36;1.133;0.003790;22.54;
1|14;14.14;13.27;1.187;0.003989;22.48;
1|15;15.09;14.22;1.116;0.003722;22.54;
1|16;16.05;15.17;1.080;0.003580;22.54;
1|17;17.47;16.59;1.151;0.003841;22.55;
1|18;18.09;17.22;1.116;0.003734;22.55;
1|19;19.17;18.30;1.240;0.004158;22.54;
1|20;20.11;19.24;1.187;0.003981;22.55;
1|21;21.56;20.69;1.187;0.003974;22.54;
1|22;22.49;21.61;1.240;0.004164;22.55;
1|23;23.25;22.37;1.151;0.003836;22.55;
1|24;24.14;23.27;1.133;0.003774;22.55;
1|25;25.66;24.78;1.133;0.003763;22.55;
1|26;26.56;25.69;1.115;0.003709;22.55;
1|27;27.49;26.61;1.204;0.004036;22.55;
1|28;28.25;27.37;1.222;0.004100;22.55;
1|29;29.69;28.81;1.257;0.004220;22.55;
1|30;30.86;29.99;1.257;0.004223;22.55;
1|31;31.27;30.39;1.151;0.003816;22.55;
1|32;32.22;31.34;1.240;0.004147;22.54;
1|33;33.74;32.86;1.133;0.003763;22.55;
1|34;34.69;33.81;1.187;0.003972;22.55;
1|35;35.64;34.77;1.257;0.004217;22.55;
1|36;36.55;35.67;1.204;0.004025;22.55;
1|37;37.47;36.59;1.151;0.003825;22.55;
1|38;38.84;37.97;1.204;0.004022;22.55;
1|39;39.67;38.80;1.133;0.003762;22.55;
1|40;40.62;39.75;1.204;0.004030;22.55;
1|41;41.55;40.67;1.275;0.004277;22.55;
1|42;42.30;41.42;1.222;0.004079;22.55;
1|43;43.70;42.83;1.240;0.004151;22.55;
1|44;44.81;43.94;1.222;0.004083;22.55;
1|45;45.62;44.75;1.151;0.003817;22.54;
1|46;46.55;45.67;1.204;0.004030;22.55;
1|47;47.47;46.59;1.275;0.004276;22.56;
1|48;48.83;47.95;1.257;0.004210;22.56;
1|49;49.66;48.78;1.257;0.004209;22.56;
1|50;50.62;49.75;1.204;0.004012;22.55;
1|51;51.53;50.66;1.168;0.003881;22.56;
1|52;52.89;52.02;1.186;0.003940;22.56;
1|53;53.70;52.83;1.222;0.004084;22.55;
1|54;54.64;53.77;1.293;0.004334;22.56;
1|55;55.55;54.67;1.257;0.004206;22.55;
1|56;56.62;55.75;1.239;0.004137;22.55;
1|57;57.70;56.83;1.204;0.004007;22.55;
1|58;58.47;57.59;1.204;0.004021;22.55;
1|59;59.84;58.97;1.168;0.003879;22.56;
1|60;60.67;59.80;1.275;0.004270;22.56;
1|61;61.64;60.77;1.293;0.004333;22.56;
1|62;62.52;61.64;1.239;0.004132;22.56;
1|63;63.86;62.99;1.275;0.004263;22.55;
1|64;64.69;63.81;1.186;0.003940;22.55;
1|65;65.64;64.77;1.204;0.004011;22.56;
1|66;66.56;65.69;1.293;0.004329;22.56;
1|67;67.91;67.03;1.240;0.004147;22.56;
1|68;68.70;67.83;1.293;0.004333;22.56;
1|69;69.81;68.94;1.293;0.004330;22.56;
1|70;70.62;69.75;1.204;0.003997;22.56;
1|71;71.83;70.95;1.204;0.003998;22.56;
1|72;72.75;71.87;1.257;0.004190;22.56;
1|73;73.84;72.97;1.239;0.004142;22.55;
1|74;74.66;73.78;1.293;0.004333;22.56;
1|75;75.89;75.02;1.293;0.004338;22.55;
1|76;76.81;75.94;1.222;0.004079;22.56;
1|77;77.91;77.03;1.239;0.004129;22.51;
1|78;78.72;77.84;1.204;0.004009;22.55;
1|79;79.69;78.81;1.275;0.004266;22.56;
1|80;81.16;80.28;1.186;0.003943;22.56;
1|81;81.78;80.91;1.310;0.004394;22.56;
1|82;82.89;82.02;1.293;0.004330;22.56;
1|83;83.72;82.84;1.204;0.004000;22.56;
1|84;84.92;84.05;1.204;0.004002;22.56;
1|85;85.83;84.95;1.275;0.004246;22.56;
1|86;86.74;85.86;1.310;0.004391;22.55;
1|87;87.83;86.95;1.310;0.004393;22.56;
1|88;88.91;88.03;1.275;0.004273;22.56;
1|89;89.83;88.95;1.222;0.004077;22.56;
1|90;90.87;90.00;1.204;0.004002;22.56;
1|91;91.84;90.97;1.204;0.004002;22.56;
1|92;92.95;92.08;1.275;0.004247;22.56;
1|93;94.03;93.16;1.275;0.004257;22.56;
1|94;95.00;94.12;1.293;0.004334;22.57;
1|95;95.94;95.06;1.257;0.004209;22.56;
1|96;96.91;96.03;1.186;0.003952;22.56;
1|97;97.94;97.06;1.186;0.003940;22.56;
1|98;98.89;98.02;1.204;0.004011;22.56;
1|99;100.0;99.12;1.310;0.004379;22.56;
1|100;100.9;100.0;1.275;0.004272;22.56;
