Thermo RheoWin  13.01.2000 / 10:35

Datum: 13.01.2000 Zeit: 10:33:17 

Nr-Seg;t in s;t_seg in s;Tau in Pa;T in °C;Eta in Pas;
1|1;0,969; ;0,04696;24,28;0,000141;
1|2;1,547; ;0,388;24,28;0,00124;
1|3;2,016; ;1,281;24,30;0,00470;
1|4;2,953; ;0,904;24,30;0,00303;
1|5;3,953; ;0,815;24,30;0,00271;
1|6;4,875; ;0,886;24,30;0,00297;
1|7;6,125; ;0,886;24,30;0,00297;
1|8;6,953; ;0,868;24,30;0,00289;
1|9;7,844; ;0,833;24,30;0,00278;
1|10;8,688; ;0,851;24,30;0,00285;
1|11;9,281; ;0,815;24,30;0,00271;
1|12;10,05; ;0,815;24,29;0,00272;
1|13;11,03; ;0,833;24,29;0,00279;
1|14;12,03; ;0,868;24,29;0,00291;
1|15;12,94; ;0,850;24,30;0,00283;
1|16;13,80; ;0,815;24,30;0,00271;
1|17;14,81; ;0,797;24,30;0,00267;
1|18;15,67; ;0,868;24,30;0,00291;
1|19;16,56; ;0,868;24,30;0,00290;
1|20;17,14; ;0,851;24,30;0,00284;
1|21;17,91; ;0,868;24,30;0,00290;
1|22;19,77; ;0,815;24,30;0,00272;
1|23;20,05; ;0,797;24,30;0,00265;
1|24;20,83; ;0,797;24,29;0,00266;
1|25;21,81; ;0,780;24,29;0,00261;
1|26;22,83; ;0,815;24,29;0,00273;
1|27;23,72; ;0,833;24,29;0,00278;
1|28;24,59; ;0,779;24,29;0,00259;
1|29;25,17; ;0,833;24,29;0,00279;
1|30;25,94; ;0,815;24,30;0,00271;
1|31;26,92; ;0,797;24,30;0,00265;
1|32;27,94; ;0,762;24,30;0,00254;
1|33;28,81; ;0,815;24,29;0,00273;
1|34;29,67; ;0,833;24,29;0,00278;
1|35;30,25; ;0,815;24,29;0,00272;
1|36;31,02; ;0,815;24,29;0,00273;
1|37;32,84; ;0,780;24,29;0,00260;
1|38;33,11; ;0,780;24,29;0,00260;
1|39;33,87; ;0,780;24,29;0,00260;
1|40;34,86; ;0,780;24,29;0,00261;
1|41;35,86; ;0,833;24,29;0,00279;
1|42;36,72; ;0,833;24,29;0,00278;
1|43;37,58; ;0,762;24,29;0,00254;
1|44;38,16; ;0,815;24,29;0,00273;
1|45;38,92; ;0,815;24,30;0,00271;
1|46;39,89; ;0,780;24,30;0,00260;
1|47;40,91; ;0,780;24,30;0,00261;
1|48;41,77; ;0,833;24,29;0,00279;
1|49;42,62; ;0,815;24,29;0,00272;
1|50;43,20; ;0,833;24,29;0,00279;
1|51;43,97; ;0,833;24,30;0,00278;
1|52;45,80; ;0,797;24,30;0,00266;
1|53;46,08; ;0,762;24,30;0,00253;
1|54;46,86; ;0,762;24,29;0,00254;
1|55;47,84; ;0,780;24,29;0,00261;
1|56;48,84; ;0,833;24,29;0,00279;
1|57;49,70; ;0,797;24,30;0,00265;
1|58;50,59; ;0,780;24,30;0,00260;
1|59;51,17; ;0,815;24,30;0,00273;
1|60;51,94; ;0,815;24,29;0,00271;
1|61;52,92; ;0,780;24,29;0,00260;
1|62;53,94; ;0,780;24,29;0,00261;
1|63;54,81; ;0,833;24,29;0,00279;
1|64;55,67; ;0,815;24,29;0,00272;
1|65;56,25; ;0,833;24,29;0,00279;
1|66;57,02; ;0,833;24,30;0,00278;
1|67;58,84; ;0,797;24,30;0,00266;
1|68;59,12; ;0,780;24,30;0,00259;
1|69;59,89; ;0,780;24,29;0,00260;
1|70;60,86; ;0,798;24,29;0,00267;
1|71;61,86; ;0,851;24,29;0,00285;
1|72;62,72; ;0,815;24,29;0,00271;
1|73;63,58; ;0,780;24,29;0,00260;
1|74;64,16; ;0,815;24,29;0,00273;
1|75;64,92; ;0,815;24,29;0,00271;
1|76;65,91; ;0,780;24,29;0,00260;
1|77;66,91; ;0,798;24,29;0,00267;
1|78;67,78; ;0,851;24,30;0,00285;
1|79;68,62; ;0,815;24,30;0,00271;
1|80;69,20; ;0,851;24,30;0,00285;
1|81;69,97; ;0,850;24,29;0,00284;
1|82;71,80; ;0,833;24,29;0,00279;
1|83;72,08; ;0,780;24,29;0,00259;
1|84;72,86; ;0,780;24,29;0,00261;
1|85;73,83; ;0,815;24,29;0,00273;
1|86;74,83; ;0,851;24,29;0,00284;
1|87;75,69; ;0,797;24,29;0,00265;
1|88;76,58; ;0,780;24,29;0,00260;
1|89;77,16; ;0,815;24,29;0,00272;
1|90;77,92; ;0,797;24,30;0,00265;
1|91;78,89; ;0,797;24,30;0,00266;
1|92;79,91; ;0,833;24,30;0,00279;
1|93;80,77; ;0,851;24,29;0,00284;
1|94;81,62; ;0,815;24,29;0,00271;
1|95;82,22; ;0,868;24,29;0,00291;
1|96;83,00; ;0,868;24,29;0,00290;
1|97;84,83; ;0,851;24,29;0,00285;
1|98;85,11; ;0,797;24,29;0,00265;
1|99;85,87; ;0,798;24,29;0,00267;
1|100;86,86; ;0,833;24,29;0,00279;
1|101;87,87; ;0,868;24,29;0,00290;
1|102;88,75; ;0,815;24,30;0,00271;
1|103;89,59; ;0,797;24,30;0,00266;
1|104;90,17; ;0,815;24,30;0,00272;
1|105;90,94; ;0,797;24,30;0,00265;
1|106;91,92; ;0,780;24,30;0,00260;
1|107;92,94; ;0,815;24,30;0,00273;
1|108;93,81; ;0,851;24,29;0,00284;
1|109;94,66; ;0,797;24,29;0,00265;
