Thermo RheoWin  07.01.2000 / 10:54

Firma: MIMED Bearbeiter: hiwi
Datum: 07.01.2000 Zeit: 10:51:05 Version: HAAKE RheoWin 3.61.0004
Substanz: w Chargennummer: 

Nr-Seg;t in s;t_seg in s;Tau in Pa;Eta in Pas;T in °C;
1|1;1.562;0.562;0.08229;0.0002301;21.76;
1|2;2.062;1.062;0.292;0.001088;21.76;
1|3;3.234;2.234;0;0;21.78;
1|4;4.125;3.125;0.429;0.001484;21.77;
1|5;5.078;4.078;0.178;0.0005876;21.77;
1|6;6.500;5.500;0.231;0.0007691;21.77;
1|7;7.406;6.406;0.267;0.0008975;21.78;
1|8;8.172;7.172;0.249;0.0008312;21.78;
1|9;9.562;8.562;0.267;0.0008931;21.78;
1|10;10.47;9.469;0.231;0.0007705;21.78;
1|11;11.23;10.23;0.249;0.0008304;21.77;
1|12;12.17;11.17;0.267;0.0008935;21.78;
1|13;13.12;12.12;0.249;0.0008342;21.78;
1|14;14.59;13.59;0.267;0.0008942;21.78;
1|15;15.52;14.52;0.267;0.0008928;21.78;
1|16;16.42;15.42;0.249;0.0008295;21.77;
1|17;17.19;16.19;0.231;0.0007709;21.77;
1|18;18.59;17.59;0.231;0.0007703;21.78;
1|19;19.56;18.56;0.249;0.0008320;21.77;
1|20;20.48;19.48;0.267;0.0008944;21.78;
1|21;21.25;20.25;0.249;0.0008331;21.78;
1|22;22.69;21.69;0.267;0.0008935;21.78;
1|23;23.83;22.83;0.267;0.0008931;21.78;
1|24;24.58;23.58;0.231;0.0007699;21.77;
1|25;25.66;24.66;0.231;0.0007707;21.77;
1|26;26.42;25.42;0.267;0.0008944;21.77;
1|27;27.80;26.80;0.249;0.0008335;21.78;
1|28;28.59;27.59;0.267;0.0008935;21.77;
1|29;29.52;28.52;0.249;0.0008304;21.78;
1|30;30.44;29.44;0.231;0.0007703;21.84;
1|31;31.81;30.81;0.231;0.0007707;21.84;
1|32;32.62;31.62;0.249;0.0008316;21.84;
1|33;33.58;32.58;0.267;0.0008942;21.84;
1|34;34.50;33.50;0.267;0.0008933;21.84;
1|35;35.42;34.42;0.231;0.0007709;21.85;
1|36;36.72;35.72;0.249;0.0008316;21.85;
1|37;37.69;36.69;0.231;0.0007699;21.85;
1|38;38.66;37.66;0.231;0.0007711;21.85;
1|39;39.61;38.61;0.338;0.001136;21.85;
1|40;40.47;39.47;0.213;0.0007073;21.84;
1|41;41.84;40.84;0.267;0.0008937;21.85;
1|42;42.67;41.67;0.249;0.0008320;21.85;
1|43;43.62;42.62;0.231;0.0007695;21.85;
1|44;44.59;43.59;0.232;0.0007713;21.85;
1|45;45.50;44.50;0.267;0.0008933;21.84;
1|46;46.70;45.70;0.267;0.0008933;21.84;
1|47;47.80;46.80;0.267;0.0008944;21.84;
1|48;48.62;47.62;0.249;0.0008323;21.85;
1|49;49.72;48.72;0.249;0.0008310;21.85;
1|50;50.83;49.83;0.231;0.0007707;21.85;
1|51;51.62;50.62;0.249;0.0008312;21.85;
1|52;52.58;51.58;0.267;0.0008939;21.84;
1|53;53.78;52.78;0.267;0.0008937;21.85;
1|54;54.69;53.69;0.249;0.0008342;21.85;
1|55;55.78;54.78;0.249;0.0008329;21.85;
1|56;56.58;55.58;0.231;0.0007701;21.84;
1|57;57.78;56.78;0.231;0.0007697;21.84;
1|58;58.70;57.70;0.267;0.0008908;21.85;
1|59;59.80;58.80;0.249;0.0008337;21.85;
1|60;60.62;59.62;0.267;0.0008937;21.79;
1|61;61.78;60.78;0.267;0.0008931;21.84;
1|62;62.73;61.73;0.249;0.0008302;21.85;
1|63;63.67;62.67;0.231;0.0007701;21.85;
1|64;64.64;63.64;0.249;0.0008320;21.85;
1|65;65.86;64.86;0.249;0.0008314;21.84;
1|66;66.78;65.78;0.267;0.0008942;21.85;
1|67;67.70;66.70;0.249;0.0008339;21.85;
1|68;68.80;67.80;0.249;0.0008325;21.85;
1|69;69.91;68.91;0.232;0.0007724;21.85;
1|70;70.86;69.86;0.231;0.0007697;21.85;
1|71;71.78;70.78;0.249;0.0008314;21.85;
1|72;72.83;71.83;0.267;0.0008933;21.85;
1|73;73.78;72.78;0.267;0.0008942;21.85;
1|74;75.08;74.08;0.267;0.0008942;21.85;
1|75;75.94;74.94;0.249;0.0008327;21.85;
1|76;76.84;75.84;0.231;0.0007701;21.86;
1|77;77.80;76.80;0.232;0.0007713;21.86;
1|78;78.89;77.89;0.249;0.0008314;21.86;
1|79;79.86;78.86;0.267;0.0008939;21.85;
1|80;80.89;79.89;0.267;0.0008944;21.85;
1|81;81.86;80.86;0.249;0.0008327;21.85;
1|82;82.92;81.92;0.232;0.0007716;21.85;
1|83;83.89;82.89;0.231;0.0007699;21.85;
1|84;84.95;83.95;0.249;0.0008293;21.85;
1|85;85.87;84.87;0.267;0.0008933;21.86;
1|86;87.05;86.05;0.267;0.0008933;21.86;
1|87;88.00;87.00;0.267;0.0008944;21.85;
1|88;88.95;87.95;0.232;0.0007732;21.86;
1|89;89.91;88.91;0.231;0.0007705;21.85;
1|90;91.02;90.02;0.231;0.0007697;21.86;
1|91;91.94;90.94;0.249;0.0008314;21.86;
1|92;93.20;92.20;0.231;0.0007699;21.85;
1|93;94.08;93.08;0.267;0.0008944;21.86;
1|94;95.03;94.03;0.249;0.0008342;21.86;
1|95;95.98;94.98;0.232;0.0007722;21.85;
1|96;97.25;96.25;0.267;0.0008933;21.85;
1|97;98.14;97.14;0.231;0.0007701;21.86;
1|98;99.09;98.09;0.249;0.0008308;21.86;
1|99;100.1;99.12;0.267;0.0008928;21.86;
1|100;101.1;100.1;0.267;0.0008946;21.86;
